nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
URS000006F838/Thermoanaerobacter,80.99999999999997,18.533469148054976,1781.0,1.059782215752815,0.3333333333333334,2.2637491905690657,216.16660241582187,217.51344786012658,7.280275868992652,11.73158115539627,18.533469148054976,56.64950385962983,1779.9402177842471,47312.1,44.91792270423356,22.45896135211678,2.668723486615086,0.8669220428202403,0.10474418893940304,miRNA
URS0000283DEC/Oscillatoriales,96.99999999999996,43.755680915678305,2745.0,9.037134594368784,0.3333333333333335,2.1888803362856066,283.23135419652954,284.70269580739836,23.99452198974668,33.21988298761985,43.755680915678305,76.31632791858937,2735.9628654056314,81055.625,43.09644493096952,21.54822246548476,2.9199108680054606,0.5639663649036855,0.20805318441192291,miRNA
URS000020C75E/Pseudomonas,61.999999999999986,40.79798410202309,1070.0,5.899217429670375,0.3333333333333334,1.610207526849992,131.14114533585558,132.2117030607711,22.85225651801952,28.741963563185386,40.79798410202309,62.89130353413702,1064.1007825703296,17479.93442622951,34.14933997095164,17.07466998547582,2.1151797634815424,0.4850197665350116,0.2509805023205175,miRNA
URS00002CF439/Capnocytophaga,88.99999999999997,60.18613663548799,2013.0,9.98453715444535,0.3333333333333334,1.9298311674085016,208.95932618574363,210.14324119081684,29.569864481814953,40.30328291844676,60.18613663548799,83.85823937358711,2003.0154628455546,44160.181818181816,43.55495645514035,21.777478227570175,2.347857597592626,0.41367663110043795,0.2195967015893647,miRNA
URS00002D2BC5/Rhizobium,66.00000000000003,43.06591021436123,1142.0,6.539930530701689,0.3333333333333332,1.6682569641304228,137.30258555467918,138.35472803352536,20.40915861769004,26.537886779684907,43.06591021436123,61.53625402307257,1135.4600694692983,19142.03076923077,34.99836724338766,17.49918362169383,2.0803422053739262,0.5010995902150486,0.2325007081063666,miRNA
URS0000326346/Prevotella,106.0,57.376108065311286,2916.0,6.772898211304852,0.33333333333333337,2.1990930156073683,282.13826397707913,283.47859581582924,22.95949195378023,29.393397333691,57.376108065311286,121.50876992110459,2909.227101788695,80360.11428571428,92.11537258741359,46.057686293706794,2.661681735632822,0.5170219513930118,0.29322646518634854,miRNA
URS00002EE34B/Pseudomonas,79.99999999999997,55.33681854784696,1602.0,3.9306913800097045,0.3333333333333335,1.8385085848622458,175.2141546793523,176.31961772569923,22.40180242511461,35.32548842961888,55.33681854784696,86.85848883553818,1598.0693086199904,31088.607594936708,51.5330004059193,25.76650020295965,2.190176933491905,0.4222806341865607,0.25173652781395517,miRNA
URS00003B57B0/Rivularia,135.0,65.30347712806599,4801.0,6.206853837698517,0.3333333333333333,2.6198566731401094,426.87937406250956,428.46924688055276,32.586691590308625,39.78001225033276,65.30347712806599,109.2727255540903,4794.793146162301,183585.89552238808,69.49271330375754,34.74635665187877,3.1620694375000706,0.4898094902687527,0.18967604419968837,miRNA
URS000035ED5D/Capnocytophaga,119.00000000000003,73.36918484730275,4067.0,4.5625062501941045,0.33333333333333326,2.3193839590839413,368.15214246286814,369.7088180845725,31.22140249263341,47.48967909677181,73.36918484730275,101.53735548346644,4062.437493749806,136684.61016949153,54.04767638669463,27.023838193347316,3.0937154828812443,0.3718366122829201,0.20662741824078282,miRNA
URS00003E1E75/Capnocytophaga,83.0,50.395361785092284,1793.0,5.26990695948751,0.33333333333333337,1.8712504373506036,191.54633904097466,192.71076520109156,36.51129734194338,41.60402692971085,50.395361785092284,75.27128586034851,1787.7300930405124,37137.439024390245,33.667258930637665,16.833629465318833,2.3077872173611405,0.5106540544416215,0.19465822176333622,miRNA
URS00003CFD19/Desulfobacter,56.00000000000001,32.60062100413597,884.0,6.171652152528216,0.3333333333333333,1.5370261078559684,115.23888232710345,116.28178939737101,17.750702764446885,20.723765151956414,32.60062100413597,54.92392750740202,877.8283478474718,13521.454545454546,34.200162355445606,17.100081177722803,2.0578371844125614,0.6091532264981189,0.2784515967279224,miRNA
URS000053415E/Lachnospiraceae,77.99999999999997,48.953656099822744,1700.0,9.159817331089851,0.3333333333333335,1.8331789916240693,187.64327858998845,188.85781087175803,28.30161849129093,31.5815401647047,48.953656099822744,78.4090999890434,1690.84018266891,35667.27272727273,46.8275598243387,23.41377991216935,2.4056830588460065,0.46438664020007653,0.2969269051944432,miRNA
URS00003F18A8/Capnocytophaga,88.0,40.71109490359538,1986.0,6.058267103442013,0.3333333333333333,1.9896875989808775,213.70072531463245,214.92538133089326,18.043606100272925,23.33555137325527,40.71109490359538,79.44267746641958,1979.941732896558,46192.91954022989,56.10712609316431,28.053563046582155,2.4284173331208234,0.6638569667011794,0.15501180640511567,miRNA
URS00004159DF/Ralstonia,127.99999999999996,84.70801315045043,4194.0,18.070508320548093,0.3333333333333334,2.333074269563351,364.6258356178289,366.0585556188139,43.17058635735295,61.742676936931325,84.70801315045043,122.09928100375893,4175.9294916794515,133998.8661417323,60.35660406682761,30.178302033413804,2.848639340764289,0.35618968230428416,0.23281235146733775,miRNA
URS000045437B/Prevotella,176.9999999999998,110.60362069206246,8145.0,12.358332194712249,0.3333333333333337,2.7831905688615963,608.3222830046587,610.0480234449506,53.99020893143411,69.06864859024974,110.60362069206246,153.8687213315255,8132.641667805287,372158.5909090909,84.80007274127577,42.400036370637885,3.4368490565234997,0.3274401472521541,0.2276652426775665,miRNA
URS000047E949/Prevotella,117.99999999999993,65.08310824166992,3682.0,11.992191238909642,0.33333333333333354,2.3881386799310005,343.93604056568427,345.40272543082625,28.866359863117523,36.186213750453526,65.08310824166992,84.68819971455535,3670.0078087610905,119303.04273504273,48.50198596410183,24.250992982050914,2.914712208183767,0.4615703402699146,0.17733977108351165,miRNA
URS00005255A8/Rhizobium,76.0,49.366498590351966,1548.0,8.683287016571308,0.3333333333333333,1.7833494154112446,173.19353336657812,174.3443336236273,25.881694006361414,34.46061094112939,49.366498590351966,75.82175038832015,1539.3167129834287,30395.946666666667,41.361139447190766,20.680569723595383,2.278862281139186,0.46133653304380723,0.2775155602880016,miRNA
URS000055B57E/Pseudomonas,94.00000000000001,57.83201392456756,2274.0,14.0,0.33333333333333326,2.022999358806214,234.55489762526804,235.8125736521976,22.810378149909113,27.56082603792724,57.83201392456756,90.67749485783555,2260.0,55607.56989247312,63.11666881990831,31.558334409954156,2.495264868353915,0.4625951507507916,0.2930669463943731,miRNA
URS000057EBF6/Moorea,94.0,6.428289717476993,2214.0,1.6558327905733345,0.3333333333333333,2.9488095660522164,314.9095108122332,316.59804576251753,2.406322859197642,3.306209533598288,6.428289717476993,18.595147707222587,2212.344167209427,100234.32258064515,15.288938173624299,7.644469086812149,3.3501011788535444,0.8342559428261113,0.06897971809935935,miRNA
URS0000655ADD/Frankia,83.00000000000004,47.70033130394647,1997.0,10.26285822682398,0.3333333333333332,1.9210436586459787,215.5411793602327,216.8514721545827,27.014304362050783,31.98685719569077,47.70033130394647,70.36236882574664,1986.737141773176,47024.560975609755,38.37551163005587,19.187755815027934,2.5968816790389466,0.49131681659388315,0.22893291723096584,miRNA
URS0000669483/Sorangium,89.0,36.21900882005479,2301.0,1.4710132797515265,0.33333333333333337,2.214738571186362,250.39169315294785,251.8103543253425,7.227962015780488,9.775534778332009,36.21900882005479,91.59397759624582,2299.5289867202487,63408.454545454544,81.81844281791382,40.90922140895691,2.8133898107072794,0.6323810967766982,0.31549395553215237,miRNA
URS00005C93BE/Pseudomonas,81.99999999999996,52.970547429251006,1886.0,11.73270855322074,0.3333333333333335,1.8569186007658356,203.78910667648555,205.0432053236164,25.98287194191837,34.48443816078341,52.970547429251006,68.60881004288024,1874.2672914467792,42042.71604938272,34.124371882096824,17.062185941048412,2.485233008249825,0.42734550012282696,0.20210544638741657,miRNA
URS0000674681/Streptomyces,41.99999999999999,27.27933950044806,506.0,6.019434169127047,0.33333333333333337,1.312903954032346,75.81556568409947,76.73457579182424,9.375132222902092,12.931057492348867,27.27933950044806,45.84004077326644,499.98056583087293,5888.195121951219,32.90898328091757,16.454491640458784,1.805132516288083,0.5824922771488037,0.2876568239097896,miRNA
URS0000609D73/Pseudomonas,80.0,52.53497700045273,1750.0,11.816233815926433,0.33333333333333337,1.8550373367569692,190.87692369692047,192.08120645554504,26.075510797489017,33.75493707793716,52.53497700045273,80.0,1738.1837661840736,36895.18987341772,46.24506292206284,23.12253146103142,2.385961546211506,0.43166595208476294,0.3057649077756659,miRNA
URS00005684F2/Xanthomonas,87.0,47.28571542519289,1975.0,3.094253922489255,0.3333333333333333,1.9849302900610915,217.58676430334637,218.8481474171234,23.23173253321157,30.42959266664365,47.28571542519289,68.2992066281294,1971.9057460775107,47894.51162790698,37.86961396148575,18.934806980742874,2.5009972908430615,0.5475648029689872,0.22486892477905537,miRNA
URS0000613847/Pseudomonas,80.00000000000001,49.73785105703355,1620.0,5.279320600431481,0.3333333333333333,1.8735883565561553,179.61069010501575,180.74389182038698,16.217964566164323,21.346949024299043,49.73785105703355,89.9304073366024,1614.7206793995686,32668.354430379746,68.58345831230335,34.291729156151675,2.2451336263126964,0.5054623796379707,0.3096416418173358,miRNA
URS00006A857B/Sphingomonas,104.0,60.70815390097461,3426.0,7.078674608368248,0.3333333333333333,2.2380767485533513,331.35781264367375,332.9624603465081,21.798504082625023,30.3714735695546,60.70815390097461,104.79875499166425,3418.921325391632,110864.0,74.42728142210966,37.21364071105483,3.1861328138814784,0.3919495280974047,0.28808717952740764,miRNA
URS00007F06D9/Candidatus,57.00000000000001,37.73984061808664,861.0,6.634053180084667,0.3333333333333333,1.5633739794129715,111.67810886650973,112.67082269032336,13.25461334211606,15.947810467820128,37.73984061808664,64.3672425445429,854.3659468199153,12694.714285714286,48.41943207672278,24.20971603836139,1.9592650678335037,0.5173841026875361,0.32446679643128756,miRNA
URS0000ADC386/Curtobacterium,64.99999999999997,26.95219139384983,1351.0,4.495530185904558,0.3333333333333335,1.7836740044582122,166.12645785665808,167.41929025652928,14.024408367918642,21.004183439416042,26.95219139384983,48.92839244125687,1346.5044698140955,28029.21875,27.924209001840826,13.962104500920413,2.5557916593332024,0.6870875794928396,0.13045140285247153,miRNA
URS0000705BBA/Streptomyces,60.000000000000014,24.016033533014827,1070.0,3.428937364133622,0.33333333333333326,1.725803068594478,139.84276885130672,141.02289752773711,8.732050807568877,17.07568600424635,24.016033533014827,47.773677183097305,1066.5710626358664,19887.45762711864,30.697991178850955,15.348995589425478,2.330712814188445,0.7719519592445974,0.14121091992235316,miRNA
